id,label,folder,name,length,width,knotCount,tailYAtX0,verticalTail,file
1,square,1template,5.10JJs38L.brd,177.8,56.98,4,7.6,0,/Users/protoplastico/Desktop/boarddata/1template/5.10JJs38L.brd
2,square,1template,9.6MDnoserider68L.brd,289.56,56.55,4,6.2,1,/Users/protoplastico/Desktop/boarddata/1template/9.6MDnoserider68L.brd
3,round pin,1template/Fatum,5.10chilpil33L.brd,177.8,50.87,3,2.45,0,/Users/protoplastico/Desktop/boarddata/1template/Fatum/5.10chilpil33L.brd
4,fish,1template/Fatum,5.10fish40L.brd,178.69,60.31,5,15.92,1,/Users/protoplastico/Desktop/boarddata/1template/Fatum/5.10fish40L.brd
5,,1template/Fatum,5.10thrillpill30L.brd,177.8,49.62,5,2.44,0,/Users/protoplastico/Desktop/boarddata/1template/Fatum/5.10thrillpill30L.brd
6,diamond,1template/Fatum,5.11bulldog30L.brd,180.34,50.53,4,3.35,0,/Users/protoplastico/Desktop/boarddata/1template/Fatum/5.11bulldog30L.brd
7,square,1template/Fatum,5.11disco33L.brd,180.34,49.91,4,9.89,1,/Users/protoplastico/Desktop/boarddata/1template/Fatum/5.11disco33L.brd
8,round square,1template/Fatum,5.4ripper25L.brd,162.56,49.91,4,5.44,0,/Users/protoplastico/Desktop/boarddata/1template/Fatum/5.4ripper25L.brd
9,round,1template/Fatum,5.4wire17.7L.brd,160.02,42.27,4,3.35,0,/Users/protoplastico/Desktop/boarddata/1template/Fatum/5.4wire17.7L.brd
10,square,1template/Fatum,5.6habano30L.brd,167.64,53.26,4,10,1,/Users/protoplastico/Desktop/boarddata/1template/Fatum/5.6habano30L.brd
11,swallow,1template/Fatum,6.0flyingfish32L.brd,182.88,51.32,4,7.61,1,/Users/protoplastico/Desktop/boarddata/1template/Fatum/6.0flyingfish32L.brd
12,square,1template/Fatum,6.0giant39L.brd,182.88,55.16,5,11.76,1,/Users/protoplastico/Desktop/boarddata/1template/Fatum/6.0giant39L.brd
13,round square,1template/Fatum,6.10arnold39L.brd,208.28,51.18,4,4.42,0,/Users/protoplastico/Desktop/boarddata/1template/Fatum/6.10arnold39L.brd
14,round pin,1template/Fatum,6.1bond27.5L.brd,190.5,46.15,3,1.5,0,/Users/protoplastico/Desktop/boarddata/1template/Fatum/6.1bond27.5L.brd
15,round square,1template/Fatum,6.1fusion26L.brd,185.42,47.28,4,3.98,0,/Users/protoplastico/Desktop/boarddata/1template/Fatum/6.1fusion26L.brd
16,diamond,1template/Fatum,6.1Q429L.brd,185.42,49.64,4,2.2,0,/Users/protoplastico/Desktop/boarddata/1template/Fatum/6.1Q429L.brd
17,wing swallow,1template/Fatum,6.1skipper29L.brd,185.42,47.28,4,4.88,0,/Users/protoplastico/Desktop/boarddata/1template/Fatum/6.1skipper29L.brd
18,swallow,1template/Fatum,6.2axion32L.brd,187.96,49.65,6,7.11,1,/Users/protoplastico/Desktop/boarddata/1template/Fatum/6.2axion32L.brd
19,round,1template/Fatum,6.4supersix35L.brd,193.04,50.88,3,2.04,0,/Users/protoplastico/Desktop/boarddata/1template/Fatum/6.4supersix35L.brd
20,round pin,1template/Fatum,6.6froid39L.brd,198.12,53.27,3,1.41,0,/Users/protoplastico/Desktop/boarddata/1template/Fatum/6.6froid39L.brd
21,pin,1template/Fatum,6.8duke47L.brd,203.2,57.83,5,1.72,0,/Users/protoplastico/Desktop/boarddata/1template/Fatum/6.8duke47L.brd
22,round,1template/Fatum,6.8MOBY44L.brd,203.2,57.83,3,1.84,0,/Users/protoplastico/Desktop/boarddata/1template/Fatum/6.8MOBY44L.brd
23,round pn,1template/Fatum,7.0superseven44L.brd,213.36,56.11,3,1.32,0,/Users/protoplastico/Desktop/boarddata/1template/Fatum/7.0superseven44L.brd
24,square,1template/Fatum,7.2dolphin44L.brd,218.44,54.09,4,5.2,0,/Users/protoplastico/Desktop/boarddata/1template/Fatum/7.2dolphin44L.brd
25,squash,1template/Fatum,8buffer54L.brd,243.84,56.27,4,3.05,0,/Users/protoplastico/Desktop/boarddata/1template/Fatum/8buffer54L.brd
26,round pin,1template/Fatum,9.0sniper71L.brd,274.32,54.19,3,1.09,0,/Users/protoplastico/Desktop/boarddata/1template/Fatum/9.0sniper71L.brd
27,square,1template/Fatum,9.0therapy71L.brd,274.32,55.56,4,7.15,1,/Users/protoplastico/Desktop/boarddata/1template/Fatum/9.0therapy71L.brd
28,round,1template/Fatum,9.2firm66L.brd,279.4,57.85,3,2.13,0,/Users/protoplastico/Desktop/boarddata/1template/Fatum/9.2firm66L.brd
29,diamond,1template/Fatum,9.4majestic65L.brd,284.48,56.04,5,2.31,0,/Users/protoplastico/Desktop/boarddata/1template/Fatum/9.4majestic65L.brd
30,diamond,1template/Fatum,9.ze 4done72L.brd,284.48,58.43,4,2.31,0,/Users/protoplastico/Desktop/boarddata/1template/Fatum/9.ze 4done72L.brd
31,square,1template/Harbour,9.6classicNoserider72L.brd,289.56,54.38,4,6.35,1,/Users/protoplastico/Desktop/boarddata/1template/Harbour/9.6classicNoserider72L.brd
32,square,1template/Harbour,9.6classicPig75L.brd,289.56,57.38,4,6.28,1,/Users/protoplastico/Desktop/boarddata/1template/Harbour/9.6classicPig75L.brd
33,square,1template/Harbour,9.6ClassicPinnose62L.brd,289.56,54.38,4,6.35,1,/Users/protoplastico/Desktop/boarddata/1template/Harbour/9.6ClassicPinnose62L.brd
34,round,1template/Harbour,9.7roundtailMOD77L.brd,292.61,57.84,3,1.47,0,/Users/protoplastico/Desktop/boarddata/1template/Harbour/9.7roundtailMOD77L.brd
35,pin,Alex knost BMT,6.6disco36L.brd,198.12,55.1,3,1.18,0,/Users/protoplastico/Desktop/boarddata/Alex knost BMT/6.6disco36L.brd
36,gun,Alex knost BMT,7.9gun32L.brd,236.22,45.51,4,0.72,1,/Users/protoplastico/Desktop/boarddata/Alex knost BMT/7.9gun32L.brd
37,square,Alex knost BMT,9.6flatrocker55L.brd,289.56,60.25,4,11.44,1,/Users/protoplastico/Desktop/boarddata/Alex knost BMT/9.6flatrocker55L.brd
38,square,Alex knost BMT,9.6noserider51L.brd,289.56,57.24,4,7.79,1,/Users/protoplastico/Desktop/boarddata/Alex knost BMT/9.6noserider51L.brd
39,round pin,almond,7.2egg.brd,219.46,57.78,4,1.46,0,/Users/protoplastico/Desktop/boarddata/almond/7.2egg.brd
