id,label,folder,name,length,width,knotCount,tailYAtX0,verticalTail,file
"001","","1template","5.10JJs38L.brd","177.80","56.98","4","7.60","0","/Users/protoplastico/Desktop/boarddata/1template/5.10JJs38L.brd"
"002","","1template","9.6MDnoserider68L.brd","289.56","56.55","4","6.20","1","/Users/protoplastico/Desktop/boarddata/1template/9.6MDnoserider68L.brd"
"003","","1template/Fatum","5.10chilpil33L.brd","177.80","50.87","3","2.45","0","/Users/protoplastico/Desktop/boarddata/1template/Fatum/5.10chilpil33L.brd"
"004","","1template/Fatum","5.10fish40L.brd","178.69","60.31","5","15.92","1","/Users/protoplastico/Desktop/boarddata/1template/Fatum/5.10fish40L.brd"
"005","","1template/Fatum","5.10thrillpill30L.brd","177.80","49.62","5","2.44","0","/Users/protoplastico/Desktop/boarddata/1template/Fatum/5.10thrillpill30L.brd"
"006","","1template/Fatum","5.11bulldog30L.brd","180.34","50.53","4","3.35","0","/Users/protoplastico/Desktop/boarddata/1template/Fatum/5.11bulldog30L.brd"
"007","","1template/Fatum","5.11disco33L.brd","180.34","49.91","4","9.89","1","/Users/protoplastico/Desktop/boarddata/1template/Fatum/5.11disco33L.brd"
"008","","1template/Fatum","5.4ripper25L.brd","162.56","49.91","4","5.44","0","/Users/protoplastico/Desktop/boarddata/1template/Fatum/5.4ripper25L.brd"
"009","","1template/Fatum","5.4wire17.7L.brd","160.02","42.27","4","3.35","0","/Users/protoplastico/Desktop/boarddata/1template/Fatum/5.4wire17.7L.brd"
"010","","1template/Fatum","5.6habano30L.brd","167.64","53.26","4","10.00","1","/Users/protoplastico/Desktop/boarddata/1template/Fatum/5.6habano30L.brd"
"011","","1template/Fatum","6.0flyingfish32L.brd","182.88","51.32","4","7.61","1","/Users/protoplastico/Desktop/boarddata/1template/Fatum/6.0flyingfish32L.brd"
"012","","1template/Fatum","6.0giant39L.brd","182.88","55.16","5","11.76","1","/Users/protoplastico/Desktop/boarddata/1template/Fatum/6.0giant39L.brd"
"013","","1template/Fatum","6.10arnold39L.brd","208.28","51.18","4","4.42","0","/Users/protoplastico/Desktop/boarddata/1template/Fatum/6.10arnold39L.brd"
"014","","1template/Fatum","6.1bond27.5L.brd","190.50","46.15","3","1.50","0","/Users/protoplastico/Desktop/boarddata/1template/Fatum/6.1bond27.5L.brd"
"015","","1template/Fatum","6.1fusion26L.brd","185.42","47.28","4","3.98","0","/Users/protoplastico/Desktop/boarddata/1template/Fatum/6.1fusion26L.brd"
"016","","1template/Fatum","6.1Q429L.brd","185.42","49.64","4","2.20","0","/Users/protoplastico/Desktop/boarddata/1template/Fatum/6.1Q429L.brd"
"017","","1template/Fatum","6.1skipper29L.brd","185.42","47.28","4","4.88","0","/Users/protoplastico/Desktop/boarddata/1template/Fatum/6.1skipper29L.brd"
"018","","1template/Fatum","6.2axion32L.brd","187.96","49.65","6","7.11","1","/Users/protoplastico/Desktop/boarddata/1template/Fatum/6.2axion32L.brd"
